연도,시군,코드,재배면적(ha),생산량(M/T),작황(kg/10a)
2013,강원도_강릉시,51150,24,187,779.2
2014,강원도_강릉시,51150,23.7,221.7,935.4
2015,강원도_강릉시,51150,23.7,191.3,807
2016,강원도_강릉시,51150,23.1,214.3,927.6
2017,강원도_강릉시,51150,21.2,181.1,854.3
2018,강원도_강릉시,51150,18.5,157.6,851.8
2019,강원도_강릉시,51150,14.8,138.4,935
2020,강원도_강릉시,51150,14.3,116.5,815
2021,강원도_강릉시,51150,14.3,118.5,829
2013,강원도_동해시,51170,18.1,136.1,751.9
2014,강원도_동해시,51170,17.9,135.4,756.4
2015,강원도_동해시,51170,17.9,135.4,756.4
2016,강원도_동해시,51170,17.5,136,777.1
2017,강원도_동해시,51170,18,141.3,785
2018,강원도_동해시,51170,17.6,138,784.1
2019,강원도_동해시,51170,18,142,788.9
2020,강원도_동해시,51170,17.5,141,805.7
2013,강원도_삼척시,51230,90.1,871.1,966.8
2014,강원도_삼척시,51230,88.6,856,966.1
2015,강원도_삼척시,51230,87.8,836.6,952.4
2016,강원도_삼척시,51230,65.5,627.9,958.6
2017,강원도_삼척시,51230,43.3,347.5,801.8
2018,강원도_삼척시,51230,44,359.4,820.3
2019,강원도_삼척시,51230,44.1,363,823.1
2020,강원도_삼척시,51230,42.7,352.2,824.6
2013,강원도_양구군,51800,2.1,18.5,881
2014,강원도_양구군,51800,2.1,18,900
2015,강원도_양구군,51800,5,15,300
2016,강원도_양구군,51800,2.4,19.4,874
2017,강원도_양구군,51800,4.8,40.8,867
2018,강원도_양구군,51800,4.8,40.8,867
2019,강원도_양구군,51800,3,22.7,762
2020,강원도_양구군,51800,3.4,36.1,1061.8
2013,강원도_양양군,51830,9,74,822.2
2014,강원도_양양군,51830,8.3,68.5,825.3
2015,강원도_양양군,51830,7.5,54.3,724
2016,강원도_양양군,51830,7,56.1,801.4
2017,강원도_양양군,51830,6.7,51.2,762.5
2018,강원도_양양군,51830,6.1,46.1,755.7
2019,강원도_양양군,51830,6.5,49.7,759.9
2020,강원도_양양군,51830,1.5,12,796.3
2013,강원도_영월군,51750,19.4,155.9,804.1
2014,강원도_영월군,51750,17,123.4,726
